dataset,task,model,readout,pooled_mean,pooled_sd,n_sig_bh_of6,n_molecules
BBBP,classification,ECFP4-MLP,gradient,0.006,0.019,1,34084
BBBP,classification,GCN,gradient,-0.014,0.019,0,7944
BBBP,classification,GIN,gradient,0.014,0.026,0,7944
BBBP,classification,D-MPNN,gradient,0.049,0.028,4,7944
BBBP,classification,GAT,native_attention,-0.009,0.032,0,7944
BACE,classification,ECFP4-MLP,gradient,0.035,0.068,2,34084
BACE,classification,GCN,gradient,0.022,0.061,2,7944
BACE,classification,GIN,gradient,0.048,0.084,2,7944
BACE,classification,D-MPNN,gradient,0.043,0.01,0,7944
BACE,classification,GAT,native_attention,-0.001,0.019,0,7944
HIV,classification,ECFP4-MLP,gradient,-0.008,0.011,0,34084
HIV,classification,GCN,gradient,0.064,0.046,4,7944
HIV,classification,GIN,gradient,0.102,0.067,5,7944
HIV,classification,D-MPNN,gradient,0.069,0.027,4,7944
HIV,classification,GAT,native_attention,0.001,0.01,0,7944
ClinTox,classification,ECFP4-MLP,gradient,0.079,0.083,1,34084
ClinTox,classification,GCN,gradient,0.128,0.12,3,7944
ClinTox,classification,GIN,gradient,0.211,0.138,4,7944
ClinTox,classification,D-MPNN,gradient,0.249,0.099,4,7944
ClinTox,classification,GAT,native_attention,-0.009,0.017,0,7944
ESOL,regression,ECFP4-MLP,gradient,0.179,0.113,4,34084
ESOL,regression,GCN,gradient,0.7,0.849,5,7944
ESOL,regression,GIN,gradient,0.724,0.582,5,7944
ESOL,regression,D-MPNN,gradient,0.272,0.18,4,7944
ESOL,regression,GAT,native_attention,0.029,0.107,0,7944
Lipophilicity,regression,ECFP4-MLP,gradient,0.282,0.028,6,34084
Lipophilicity,regression,GCN,gradient,0.166,0.116,4,7944
Lipophilicity,regression,GIN,gradient,0.276,0.244,5,7944
Lipophilicity,regression,D-MPNN,gradient,0.328,0.145,6,7944
Lipophilicity,regression,GAT,native_attention,0.0,0.049,1,7944
FreeSolv,regression,ECFP4-MLP,gradient,0.39,0.304,5,34084
FreeSolv,regression,GCN,gradient,-0.006,0.354,1,7944
FreeSolv,regression,GIN,gradient,0.017,0.285,1,7944
FreeSolv,regression,D-MPNN,gradient,0.791,0.337,6,7944
FreeSolv,regression,GAT,native_attention,0.009,0.063,0,7944
