dataset,model,seed,n_test,accs_vs_perm,p_raw,p_bh,significant
BBBP,ECFP4-MLP,42,308,+0.031,0.114,0.218,ns
BBBP,ECFP4-MLP,0,180,-0.003,0.583,0.760,ns
BBBP,ECFP4-MLP,1,162,+0.029,0.021,0.050,*
BBBP,ECFP4-MLP,2,148,-0.009,0.720,0.854,ns
BBBP,ECFP4-MLP,3,274,-0.010,0.656,0.810,ns
BBBP,ECFP4-MLP,4,174,-0.003,0.619,0.778,ns
BBBP,GCN,42,308,+0.004,0.398,0.576,ns
BBBP,GCN,0,180,-0.031,0.905,0.985,ns
BBBP,GCN,1,162,-0.030,0.987,1.000,ns
BBBP,GCN,2,148,+0.004,0.500,0.691,ns
BBBP,GCN,3,274,+0.004,0.436,0.627,ns
BBBP,GCN,4,174,-0.031,0.975,1.000,ns
BBBP,GIN,42,308,+0.007,0.361,0.553,ns
BBBP,GIN,0,180,-0.006,0.672,0.820,ns
BBBP,GIN,1,162,+0.011,0.364,0.554,ns
BBBP,GIN,2,148,-0.020,0.772,0.886,ns
BBBP,GIN,3,274,+0.042,0.040,0.087,ns
BBBP,GIN,4,174,+0.047,0.077,0.159,ns
BBBP,D-MPNN,42,308,+0.077,0.001,0.003,**
BBBP,D-MPNN,0,180,+0.065,0.005,0.015,*
BBBP,D-MPNN,1,162,-0.003,0.567,0.750,ns
BBBP,D-MPNN,2,148,+0.031,0.147,0.270,ns
BBBP,D-MPNN,3,274,+0.074,$<$0.001,$<$0.001,***
BBBP,D-MPNN,4,174,+0.049,0.020,0.048,*
BBBP,GAT,42,308,+0.027,0.048,0.103,ns
BBBP,GAT,0,180,-0.064,1.000,1.000,ns
BBBP,GAT,1,162,+0.014,0.135,0.253,ns
BBBP,GAT,2,148,-0.003,0.609,0.778,ns
BBBP,GAT,3,274,-0.008,0.663,0.814,ns
BBBP,GAT,4,174,-0.017,0.866,0.957,ns
BACE,ECFP4-MLP,42,149,+0.167,$<$0.001,0.002,**
BACE,ECFP4-MLP,0,146,-0.015,0.705,0.846,ns
BACE,ECFP4-MLP,1,116,-0.019,0.714,0.852,ns
BACE,ECFP4-MLP,2,136,+0.033,0.011,0.029,*
BACE,ECFP4-MLP,3,101,+0.016,0.258,0.418,ns
BACE,ECFP4-MLP,4,111,+0.026,0.160,0.290,ns
BACE,GCN,42,149,+0.117,$<$0.001,0.002,**
BACE,GCN,0,146,+0.068,0.021,0.050,*
BACE,GCN,1,116,+0.017,0.237,0.397,ns
BACE,GCN,2,136,-0.044,0.900,0.984,ns
BACE,GCN,3,101,+0.005,0.460,0.654,ns
BACE,GCN,4,111,-0.032,0.802,0.902,ns
BACE,GIN,42,149,-0.105,1.000,1.000,ns
BACE,GIN,0,146,+0.087,0.030,0.068,ns
BACE,GIN,1,116,+0.111,0.003,0.009,**
BACE,GIN,2,136,+0.124,0.017,0.042,*
BACE,GIN,3,101,+0.048,0.148,0.270,ns
BACE,GIN,4,111,+0.020,0.371,0.561,ns
BACE,D-MPNN,42,149,+0.061,0.026,0.060,ns
BACE,D-MPNN,0,146,+0.043,0.037,0.083,ns
BACE,D-MPNN,1,116,+0.040,0.148,0.270,ns
BACE,D-MPNN,2,136,+0.046,0.038,0.083,ns
BACE,D-MPNN,3,101,+0.029,0.168,0.299,ns
BACE,D-MPNN,4,111,+0.040,0.117,0.221,ns
BACE,GAT,42,149,-0.007,0.581,0.760,ns
BACE,GAT,0,146,+0.017,0.212,0.359,ns
BACE,GAT,1,116,+0.018,0.313,0.487,ns
BACE,GAT,2,136,-0.031,0.979,1.000,ns
BACE,GAT,3,101,-0.008,0.644,0.800,ns
BACE,GAT,4,111,+0.009,0.396,0.576,ns
HIV,ECFP4-MLP,42,3560,-0.015,0.793,0.902,ns
HIV,ECFP4-MLP,0,3708,-0.018,0.886,0.974,ns
HIV,ECFP4-MLP,1,3550,-0.004,0.568,0.750,ns
HIV,ECFP4-MLP,2,3954,+0.010,0.259,0.418,ns
HIV,ECFP4-MLP,3,3474,-0.016,0.941,1.000,ns
HIV,ECFP4-MLP,4,3395,-0.004,0.609,0.778,ns
HIV,GCN,42,3560,+0.072,0.005,0.015,*
HIV,GCN,0,3708,+0.083,$<$0.001,0.002,**
HIV,GCN,1,3550,+0.120,$<$0.001,0.002,**
HIV,GCN,2,3954,+0.004,0.396,0.576,ns
HIV,GCN,3,3474,+0.012,0.194,0.337,ns
HIV,GCN,4,3395,+0.090,$<$0.001,0.002,**
HIV,GIN,42,3560,+0.115,$<$0.001,0.002,**
HIV,GIN,0,3708,+0.007,0.356,0.550,ns
HIV,GIN,1,3550,+0.098,$<$0.001,0.002,**
HIV,GIN,2,3954,+0.130,$<$0.001,0.002,**
HIV,GIN,3,3474,+0.204,$<$0.001,0.002,**
HIV,GIN,4,3395,+0.057,0.003,0.009,**
HIV,D-MPNN,42,1500,+0.065,0.015,0.037,*
HIV,D-MPNN,0,1500,+0.103,0.001,0.003,**
HIV,D-MPNN,1,1500,+0.032,0.162,0.291,ns
HIV,D-MPNN,2,1500,+0.093,0.008,0.022,*
HIV,D-MPNN,3,1500,+0.035,0.057,0.120,ns
HIV,D-MPNN,4,1500,+0.085,0.001,0.003,**
HIV,GAT,42,3560,+0.012,0.099,0.194,ns
HIV,GAT,0,3708,+0.015,0.101,0.196,ns
HIV,GAT,1,3550,-0.000,0.483,0.672,ns
HIV,GAT,2,3954,-0.006,0.744,0.873,ns
HIV,GAT,3,3474,-0.008,0.863,0.957,ns
HIV,GAT,4,3395,-0.007,0.693,0.841,ns
ClinTox,ECFP4-MLP,42,117,+0.032,0.208,0.358,ns
ClinTox,ECFP4-MLP,0,111,+0.003,0.483,0.672,ns
ClinTox,ECFP4-MLP,1,105,+0.229,0.017,0.042,*
ClinTox,ECFP4-MLP,2,109,+0.075,0.059,0.123,ns
ClinTox,ECFP4-MLP,3,239,+0.026,0.395,0.576,ns
ClinTox,ECFP4-MLP,4,244,+0.111,0.082,0.167,ns
ClinTox,GCN,42,117,+0.142,0.009,0.024,*
ClinTox,GCN,0,111,+0.268,0.009,0.024,*
ClinTox,GCN,1,105,-0.012,0.619,0.778,ns
ClinTox,GCN,2,109,+0.265,0.001,0.003,**
ClinTox,GCN,3,239,+0.020,0.249,0.409,ns
ClinTox,GCN,4,244,+0.085,0.038,0.083,ns
ClinTox,GIN,42,117,+0.400,$<$0.001,0.002,**
ClinTox,GIN,0,111,+0.243,0.010,0.027,*
ClinTox,GIN,1,105,+0.255,0.093,0.186,ns
ClinTox,GIN,2,109,+0.166,0.014,0.035,*
ClinTox,GIN,3,239,+0.221,$<$0.001,0.002,**
ClinTox,GIN,4,244,-0.022,0.549,0.739,ns
ClinTox,D-MPNN,42,117,+0.358,$<$0.001,$<$0.001,***
ClinTox,D-MPNN,0,111,+0.360,0.008,0.022,*
ClinTox,D-MPNN,1,105,+0.278,0.038,0.083,ns
ClinTox,D-MPNN,2,109,+0.258,0.007,0.020,*
ClinTox,D-MPNN,3,239,+0.109,0.012,0.031,*
ClinTox,D-MPNN,4,244,+0.129,0.113,0.218,ns
ClinTox,GAT,42,117,+0.002,0.480,0.672,ns
ClinTox,GAT,0,111,+0.005,0.385,0.573,ns
ClinTox,GAT,1,105,+0.006,0.461,0.654,ns
ClinTox,GAT,2,109,-0.037,0.971,1.000,ns
ClinTox,GAT,3,239,-0.012,0.770,0.886,ns
ClinTox,GAT,4,244,-0.020,0.939,1.000,ns
ESOL,ECFP4-MLP,42,44,+0.281,0.006,0.018,*
ESOL,ECFP4-MLP,0,32,+0.153,0.171,0.302,ns
ESOL,ECFP4-MLP,1,53,+0.278,$<$0.001,0.002,**
ESOL,ECFP4-MLP,2,52,+0.252,$<$0.001,0.002,**
ESOL,ECFP4-MLP,3,353,+0.109,$<$0.001,0.002,**
ESOL,ECFP4-MLP,4,61,-0.002,0.511,0.697,ns
ESOL,GCN,42,44,+1.172,$<$0.001,0.002,**
ESOL,GCN,0,32,+1.303,$<$0.001,0.002,**
ESOL,GCN,1,53,+1.019,$<$0.001,0.002,**
ESOL,GCN,2,52,+0.941,$<$0.001,0.002,**
ESOL,GCN,3,353,-0.991,1.000,1.000,ns
ESOL,GCN,4,61,+0.755,$<$0.001,0.002,**
ESOL,GIN,42,44,+1.270,$<$0.001,0.002,**
ESOL,GIN,0,32,+0.938,$<$0.001,0.002,**
ESOL,GIN,1,53,+0.916,$<$0.001,0.002,**
ESOL,GIN,2,52,+0.898,$<$0.001,0.002,**
ESOL,GIN,3,353,-0.408,1.000,1.000,ns
ESOL,GIN,4,61,+0.734,$<$0.001,0.002,**
ESOL,D-MPNN,42,44,+0.383,0.002,0.006,**
ESOL,D-MPNN,0,32,+0.309,0.012,0.031,*
ESOL,D-MPNN,1,53,+0.076,0.210,0.359,ns
ESOL,D-MPNN,2,52,+0.403,$<$0.001,$<$0.001,***
ESOL,D-MPNN,3,353,-0.016,0.641,0.800,ns
ESOL,D-MPNN,4,61,+0.476,$<$0.001,$<$0.001,***
ESOL,GAT,42,44,+0.082,0.307,0.481,ns
ESOL,GAT,0,32,-0.149,0.852,0.952,ns
ESOL,GAT,1,53,+0.098,0.282,0.449,ns
ESOL,GAT,2,52,+0.140,0.192,0.336,ns
ESOL,GAT,3,353,-0.046,0.772,0.886,ns
ESOL,GAT,4,61,+0.049,0.272,0.436,ns
Lipophilicity,ECFP4-MLP,42,413,+0.246,$<$0.001,0.002,**
Lipophilicity,ECFP4-MLP,0,385,+0.280,$<$0.001,0.002,**
Lipophilicity,ECFP4-MLP,1,437,+0.307,$<$0.001,0.002,**
Lipophilicity,ECFP4-MLP,2,443,+0.295,$<$0.001,0.002,**
Lipophilicity,ECFP4-MLP,3,406,+0.253,$<$0.001,0.002,**
Lipophilicity,ECFP4-MLP,4,460,+0.313,$<$0.001,0.002,**
Lipophilicity,GCN,42,413,+0.067,0.056,0.119,ns
Lipophilicity,GCN,0,385,+0.364,$<$0.001,0.002,**
Lipophilicity,GCN,1,437,+0.113,0.001,0.003,**
Lipophilicity,GCN,2,443,+0.199,$<$0.001,0.002,**
Lipophilicity,GCN,3,406,+0.199,$<$0.001,0.002,**
Lipophilicity,GCN,4,460,+0.052,0.087,0.176,ns
Lipophilicity,GIN,42,413,+0.532,$<$0.001,0.002,**
Lipophilicity,GIN,0,385,-0.027,0.702,0.846,ns
Lipophilicity,GIN,1,437,+0.607,$<$0.001,0.002,**
Lipophilicity,GIN,2,443,+0.137,0.001,0.003,**
Lipophilicity,GIN,3,406,+0.212,$<$0.001,0.002,**
Lipophilicity,GIN,4,460,+0.197,$<$0.001,0.002,**
Lipophilicity,D-MPNN,42,413,+0.352,$<$0.001,$<$0.001,***
Lipophilicity,D-MPNN,0,385,+0.231,$<$0.001,$<$0.001,***
Lipophilicity,D-MPNN,1,437,+0.125,0.006,0.018,*
Lipophilicity,D-MPNN,2,443,+0.277,$<$0.001,$<$0.001,***
Lipophilicity,D-MPNN,3,406,+0.589,$<$0.001,$<$0.001,***
Lipophilicity,D-MPNN,4,460,+0.397,$<$0.001,$<$0.001,***
Lipophilicity,GAT,42,413,-0.045,0.928,0.999,ns
Lipophilicity,GAT,0,385,+0.085,0.009,0.024,*
Lipophilicity,GAT,1,437,-0.008,0.506,0.695,ns
Lipophilicity,GAT,2,443,+0.019,0.238,0.397,ns
Lipophilicity,GAT,3,406,-0.049,0.959,1.000,ns
Lipophilicity,GAT,4,460,-0.002,0.544,0.737,ns
FreeSolv,ECFP4-MLP,42,19,+0.749,$<$0.001,0.002,**
FreeSolv,ECFP4-MLP,0,166,+0.509,$<$0.001,0.002,**
FreeSolv,ECFP4-MLP,1,33,+0.048,0.381,0.572,ns
FreeSolv,ECFP4-MLP,2,12,+0.157,0.002,0.006,**
FreeSolv,ECFP4-MLP,3,167,+0.705,$<$0.001,0.002,**
FreeSolv,ECFP4-MLP,4,344,+0.172,$<$0.001,0.002,**
FreeSolv,GCN,42,19,-0.204,0.981,1.000,ns
FreeSolv,GCN,0,166,+0.327,$<$0.001,0.002,**
FreeSolv,GCN,1,33,-0.057,0.974,1.000,ns
FreeSolv,GCN,2,12,+0.472,0.022,0.051,ns
FreeSolv,GCN,3,167,-0.077,0.754,0.880,ns
FreeSolv,GCN,4,344,-0.496,1.000,1.000,ns
FreeSolv,GIN,42,19,-0.123,0.803,0.902,ns
FreeSolv,GIN,0,166,+0.396,$<$0.001,0.002,**
FreeSolv,GIN,1,33,-0.114,0.923,0.999,ns
FreeSolv,GIN,2,12,+0.347,0.099,0.194,ns
FreeSolv,GIN,3,167,-0.106,0.800,0.902,ns
FreeSolv,GIN,4,344,-0.301,1.000,1.000,ns
FreeSolv,D-MPNN,42,19,+1.399,$<$0.001,$<$0.001,***
FreeSolv,D-MPNN,0,166,+0.671,$<$0.001,$<$0.001,***
FreeSolv,D-MPNN,1,33,+0.897,$<$0.001,$<$0.001,***
FreeSolv,D-MPNN,2,12,+0.813,$<$0.001,$<$0.001,***
FreeSolv,D-MPNN,3,167,+0.264,0.006,0.018,*
FreeSolv,D-MPNN,4,344,+0.701,$<$0.001,$<$0.001,***
FreeSolv,GAT,42,19,+0.116,0.243,0.402,ns
FreeSolv,GAT,0,166,+0.051,0.299,0.472,ns
FreeSolv,GAT,1,33,-0.042,0.738,0.871,ns
FreeSolv,GAT,2,12,-0.039,0.596,0.773,ns
FreeSolv,GAT,3,167,-0.012,0.564,0.750,ns
FreeSolv,GAT,4,344,-0.021,0.617,0.778,ns
