dataset,metric,model,value
BBBP,AUROC,ECFP4-MLP,0.807
BBBP,AUROC,GCN,0.832
BBBP,AUROC,GIN,0.822
BBBP,AUROC,D-MPNN,0.878
BBBP,AUROC,GAT,0.835
BBBP,AUROC,AttentiveFP,0.858
BACE,AUROC,ECFP4-MLP,0.872
BACE,AUROC,GCN,0.678
BACE,AUROC,GIN,0.685
BACE,AUROC,D-MPNN,0.855
BACE,AUROC,GAT,0.742
BACE,AUROC,AttentiveFP,0.803
HIV,AUROC,ECFP4-MLP,0.724
HIV,AUROC,GCN,0.693
HIV,AUROC,GIN,0.687
HIV,AUROC,D-MPNN,0.73
HIV,AUROC,GAT,0.55
HIV,AUROC,AttentiveFP,0.736
ClinTox,AUROC,ECFP4-MLP,0.715
ClinTox,AUROC,GCN,0.949
ClinTox,AUROC,GIN,0.94
ClinTox,AUROC,D-MPNN,0.922
ClinTox,AUROC,GAT,0.908
ClinTox,AUROC,AttentiveFP,0.908
ESOL,RMSE,ECFP4-MLP,0.96
ESOL,RMSE,GCN,2.13
ESOL,RMSE,GIN,1.96
ESOL,RMSE,D-MPNN,1.13
ESOL,RMSE,GAT,1.61
ESOL,RMSE,AttentiveFP,0.91
Lipophilicity,RMSE,ECFP4-MLP,0.65
Lipophilicity,RMSE,GCN,0.82
Lipophilicity,RMSE,GIN,0.72
Lipophilicity,RMSE,D-MPNN,0.72
Lipophilicity,RMSE,GAT,0.75
Lipophilicity,RMSE,AttentiveFP,0.64
FreeSolv,RMSE,ECFP4-MLP,1.26
FreeSolv,RMSE,GCN,3.4
FreeSolv,RMSE,GIN,3.31
FreeSolv,RMSE,D-MPNN,2.28
FreeSolv,RMSE,GAT,3.14
FreeSolv,RMSE,AttentiveFP,1.82
